,img_url,description
598,/us/en/images/products/enudden-toilet-roll-holder-white__0711712_PE728403_S4.JPG,
599,/us/en/images/products/enudden-towel-rack-white__0710494_PE727591_S4.JPG,
600,/us/en/images/products/enudden-hanger-for-door-white__0710492_PE727593_S4.JPG,Covered back prevents scratching of door. Hanging storage helps you to convert unused space into a storage place.
601,/us/en/images/products/enudden-mirror-white__0637652_PE698442_S4.JPG,"The mirror comes with safety film on the back, which reduces the risk of injury if the glass is broken."
602,/us/en/images/products/fargrik-piece-dinnerware-set-turquoise__0720492_PE732591_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
603,/us/en/images/products/fargrik-mug-white__0711067_PE727942_S4.JPG,The drainage gates on the underside transport water away that may otherwise accumulate when the mug is upside down in the dishwasher.
604,/us/en/images/products/fargrik-bowl-turquoise__0712938_PE729150_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
605,/us/en/images/products/fargrik-mug-turquoise__0711066_PE727941_S4.JPG,The drainage gates on the underside transport water away that may otherwise accumulate when the mug is upside down in the dishwasher.
606,/us/en/images/products/fargrik-side-plate-turquoise__0713495_PE729578_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
607,/us/en/images/products/fargrik-mug-turquoise__0478740_PE617792_S4.JPG,The drainage gates on the underside transport water away that may otherwise accumulate when the mug is upside down in the dishwasher.
608,/us/en/images/products/fargrik-plate-turquoise__0713501_PE729562_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
609,/us/en/images/products/fargrik-deep-plate-bowl-turquoise__0713505_PE729566_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
610,/us/en/images/products/fargrik-piece-dinnerware-set-green__0720489_PE732588_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
611,/us/en/images/products/fargrik-piece-dinnerware-set-turquoise__0712717_PE729030_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
612,/us/en/images/products/fargrik-bowl-green__0712944_PE729123_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
613,/us/en/images/products/fargrik-bowl-turquoise__0711997_PE728648_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
614,/us/en/images/products/fargrik-deep-plate-bowl-turquoise__0713477_PE729548_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
615,/us/en/images/products/fargrik-deep-plate-bowl-green__0713502_PE729563_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
616,/us/en/images/products/fargrik-mug-green__0711052_PE727927_S4.JPG,The drainage gates on the underside transport water away that may otherwise accumulate when the mug is upside down in the dishwasher.
617,/us/en/images/products/fargrik-plate-green__0713491_PE729574_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
618,/us/en/images/products/fargrik-plate-turquoise__0712320_PE728768_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
619,/us/en/images/products/fargrik-side-plate-green__0713492_PE729575_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
620,/us/en/images/products/fargrik-side-plate-turquoise__0712321_PE728769_S4.JPG,"The dinnerware’s simple, functional design is easy to coordinate with other colors and shapes  and makes FÄRGRIK the perfect base for many types of meals."
621,/us/en/images/products/farlov-loveseat-gray__0479735_PE619093_S4.JPG,"Pocket springs that follow your body. The top layer of fiber balls and the soft, embracing feeling makes the sofa inviting and comfortable to relax in, for as long as you like. DJUPARP cover is made of velvet which, through a traditional weaving technique gives the fabric a warm, deep color and a soft surface with a dense pile and light, reflective shine. The velvet is woven from viscose and polyester, which makes it durable. The cover is easy to keep clean as it is removable and can be machine washed. The tall legs in solid wood make it easy to vacuum or reach toys and other things hiding under the sofa. 10year limited warrranty. Read about the terms in the limited warranty brochure."
622,/us/en/images/products/farlov-sofa-gray__0479738_PE619085_S4.JPG,"Pocket springs that follow your body. The top layer of fiber balls and the soft, embracing feeling makes the sofa inviting and comfortable to relax in, for as long as you like. DJUPARP cover is made of velvet which, through a traditional weaving technique gives the fabric a warm, deep color and a soft surface with a dense pile and light, reflective shine. The velvet is woven from viscose and polyester, which makes it durable. The cover is easy to keep clean as it is removable and can be machine washed. The tall legs in solid wood make it easy to vacuum or reach toys and other things hiding under the sofa. 10year limited warrranty. Read about the terms in the limited warranty brochure."
623,/us/en/images/products/farlov-sectional-seat-sofa-right-beige__0479727_PE619086_S4.JPG,"Pocket springs that follow your body. The top layer of fiber balls and the soft, embracing feeling makes the sofa inviting and comfortable to relax in, for as long as you like. A yarndyed fabric with natural hints of flax that gives the cover a texture that both looks and feels crisp. The tall legs in solid wood make it easy to vacuum or reach toys and other things hiding under the sofa. The cover is easy to keep clean as it is removable and can be machine washed. 10year limited warrranty. Read about the terms in the limited warranty brochure."
624,/us/en/images/products/farlov-sectional-seat-sofa-left-gray__0479729_PE619079_S4.JPG,"Pocket springs that follow your body. The top layer of fiber balls and the soft, embracing feeling makes the sofa inviting and comfortable to relax in, for as long as you like. DJUPARP cover is made of velvet which, through a traditional weaving technique gives the fabric a warm, deep color and a soft surface with a dense pile and light, reflective shine. The velvet is woven from viscose and polyester, which makes it durable. The tall legs in solid wood make it easy to vacuum or reach toys and other things hiding under the sofa. The cover is easy to keep clean as it is removable and can be machine washed. 10year limited warrranty. Read about the terms in the limited warranty brochure."
625,/us/en/images/products/farlov-ottoman-with-storage-white__0479734_PE619082_S4.JPG,"The ottoman has spacious storage under the seat and a lid that stays up when you open it, so you can easily take out and put back what you are storing. A yarndyed fabric with natural hints of flax that gives the cover a texture that both looks and feels crisp. The cover is easy to keep clean as it is removable and can be washed. 10year limited warrranty. Read about the terms in the limited warranty brochure."
626,/us/en/images/products/farlov-armchair-white__0479725_PE619088_S4.JPG,A yarndyed fabric with natural hints of flax that gives the cover a texture that both looks and feels crisp. The cover is easy to keep clean as it is removable and can be machine washed. 10year limited warrranty. Read about the terms in the limited warranty brochure.
627,/us/en/images/products/farlov-cover-for-loveseat-gray__0515714_PE639970_S4.JPG,"DJUPARP cover is made of velvet which, through a traditional weaving technique gives the fabric a warm, deep color and a soft surface with a dense pile and light, reflective shine. The velvet is woven from viscose and polyester, which makes it durable. The cover is easy to keep clean as it is removable and can be machine washed."
628,/us/en/images/products/farlov-cover-for-sofa-white__0519542_PE641598_S4.JPG,A yarndyed fabric with natural hints of flax that gives the cover a texture that both looks and feels crisp. The cover is easy to keep clean as it is removable and can be machine washed.
629,/us/en/images/products/farlov-cover-for-ottoman-with-storage-beige__0515712_PE639969_S4.JPG,A yarndyed fabric with natural hints of flax that gives the cover a texture that both looks and feels crisp. The cover is easy to keep clean as it is removable and can be machine washed.
630,/us/en/images/products/farlov-cover-for-armchair-beige__0515712_PE639969_S4.JPG,A yarndyed fabric with natural hints of flax that gives the cover a texture that both looks and feels crisp. The cover is easy to keep clean as it is removable and can be machine washed.
631,/us/en/images/products/farlov-sectional-cover-seat-sofa-right-beige__0515712_PE639969_S4.JPG,A yarndyed fabric with natural hints of flax that gives the cover a texture that both looks and feels crisp. The cover is easy to keep clean as it is removable and can be machine washed.
632,/us/en/images/products/farlov-sectional-cover-seat-sofa-left-white__0519542_PE641598_S4.JPG,A yarndyed fabric with natural hints of flax that gives the cover a texture that both looks and feels crisp. The cover is easy to keep clean as it is removable and can be machine washed.
633,/us/en/images/products/farlov-sleeper-sofa-white__0567578_PE667131_S4.JPG,"Comfortable to sit in thanks to pocket springs that follow your body and a top layer of ball fiber – and comfortable to sleep on thanks to a thick foam mattress on the slatted bed base. The cover is easy to keep clean since it can be machine washed and is easy to take off and put on again. The sofa quickly and easily transforms into a bed for two. All you need to do is remove the back cushions and seat pad and pull the handle underneath ‒ the bed and mattress then fold out. You sleep well on the 4¾"" thick and comfortable foam mattress that has the same resilient qualities as a bed mattress and has a smooth sleeping surface without disturbing joints. The mattress is easy to keep clean since you can remove the mattress cover and machine wash it. 10year limited warrranty. Read about the terms in the limited warranty brochure."
634,/us/en/images/products/fintorp-rail__0712551_PE728907_S4.JPG,"For a longer rail, connect two FINTORP rails together using only one bracket. The rails can also be used for hanging towels."
635,/us/en/images/products/fintorp-hook__0712625_PE728941_S4.JPG,Use the hooks to store your kitchenware on the wall and fit more into your cabinets and drawers. Can be hung on FINTORP rail.
636,/us/en/images/products/fintorp-utensil-holder-white__0712544_PE728913_S4.JPG,"Helps free up space on your countertop while keeping cooking utensils close at hand. Can be hung on FINTORP rail using FINTORP hooks, or kept freestanding on the table or windowsill."
637,/us/en/images/products/fintorp-condiment-stand-white__0712556_PE728912_S4.JPG,"Helps free up space on your countertop while keeping oil and seasonings close at hand. Can be hung on FINTORP rail using FINTORP hooks, or kept freestanding on the table or windowsill."
638,/us/en/images/products/fintorp-rail-black__0712543_PE728899_S4.JPG,"For a longer rail, connect two FINTORP rails together using only one bracket."
639,/us/en/images/products/fintorp-hook-black__0712630_PE728946_S4.JPG,Use the hooks to store your kitchenware on the wall and fit more into your cabinets and drawers. Can be hung on FINTORP rail.
640,/us/en/images/products/fintorp-papertowel-holder__0711699_PE728390_S4.JPG,"Can be used in 2 ways, either hung on FINTORP rail using FINTORP hooks, or kept freestanding on a table or countertop."
641,/us/en/images/products/fintorp-magnetic-knife-rack-black__0712547_PE728903_S4.JPG,The knife rack makes it easy for you to see and reach all your different knives when you cook. Magnetic knife racks preserve the edges on your knives since they don’t scrape together in a drawer. Adds a decorative touch to your kitchen.
642,/us/en/images/products/fintorp-rail__0712545_PE728901_S4.JPG,"For a longer rail, connect two FINTORP rails together using only one bracket. The rails can also be used for hanging towels."
643,/us/en/images/products/fintorp-dish-drainer__0712634_PE728950_S4.JPG,Can be hung on the wall or placed on the countertop. Removable tray underneath to collect water from the drainer.
644,/us/en/images/products/fintorp-dish-drainer-black__0712635_PE728949_S4.JPG,Can be hung on the wall or placed on the countertop. Removable tray underneath to collect water from the drainer.
645,/us/en/images/products/fiskbo-frame-pink__0638114_PE698719_S4.JPG,"Can be used hanging or standing, both horizontally and vertically, to fit in the space available. Front protection in plastic makes the frame safer to use."
646,/us/en/images/products/fiskbo-frame-black__0638099_PE698704_S4.JPG,Can be hung horizontally or vertically to fit in the space available. Front protection in plastic makes the frame safer to use.
647,/us/en/images/products/fiskbo-frame-white__0638105_PE698710_S4.JPG,Can be hung horizontally or vertically to fit in the space available. Front protection in plastic makes the frame safer to use.
648,/us/en/images/products/fiskbo-frame-blue__0638095_PE698700_S4.JPG,Can be hung horizontally or vertically to fit in the space available. Front protection in plastic makes the frame safer to use.
649,/us/en/images/products/fixa-piece-hook-and-hanging-set__0711969_PE728595_S4.JPG,"With the Shook, you can join two screw eyes together or with a chain. The hook driver makes it easier to screw hooks straight and firmly into walls or ceilings without hurting your fingers. The screws and hooks are made of galvanized steel to protect against corrosion. Can be stacked with other boxes in the FIXA series."
650,/us/en/images/products/fixa-piece-cable-management-set__0711964_PE728594_S4.JPG,"Helps you to collect and organize all the cords around your computer, stereo and TV. Can be stacked with other boxes in the FIXA series."
651,/us/en/images/products/fixa-piece-picture-hook-set__0711968_PE728597_S4.JPG,"The easyheight picture hook has hooks at different levels, which makes it easy to adjust the height of a picture to match another without putting new holes in the wall or changing the wire length. Can be stacked with other boxes in the FIXA series."
652,/us/en/images/products/fixa-piece-tool-kit__0711971_PE728599_S4.JPG,"Practical hand tools for all your basic needs at home. You can also use the hammer as a rubber mallet, since a separate rubber casing is included. The tools have an easy to grip handle of soft synthetic rubber."
653,/us/en/images/products/fixa-piece-tool-set__51798_PE151909_S4.jpg,Makes it easy to cut out a hole for a faucet in a stainless steel sink unit. Can also be used to cut copper pipes.
654,/us/en/images/products/fixa-piece-wood-screw-set__0711967_PE728596_S4.JPG,The screws are made of galvanized steel to protect against corrosion. Can be stacked with other boxes in the FIXA series.
655,/us/en/images/products/fixa-piece-screw-and-plug-set__0711966_PE728598_S4.JPG,"The screws are made of galvanized steel to protect against corrosion. When the box has been emptied, it can be used for storing other small things."
656,/us/en/images/products/fixa-piece-hole-saw-set__0711975_PE728607_S4.JPG,"Helps you quickly and easily make holes for faucets, cables or wireless chargers."
657,/us/en/images/products/fixa-countertop-support-fixture__0734546_PE739497_S4.JPG,
658,/us/en/images/products/fixa-diffusion-barrier__0734543_PE739494_S4.JPG,
659,/us/en/images/products/fixa-drill-template-orange__0755132_PE748285_S4.JPG,Drill template to mark the location for knobs or handles makes it easy for you to place them correctly. The strip on the drill template is put against the edge of the door or drawer front; helps you to place the handle perfectly straight vertically or horizontally.
660,/us/en/images/products/fixa-floor-protectors-with-rivet__0711955_PE728579_S4.JPG,"Plastic floor protectors are durable, even if they get wet when you mop the floor or if they are exposed to friction against a rug."
661,/us/en/images/products/fixa-laser-level__0711974_PE728602_S4.JPG,"Can be used both as a laser leveller or as a traditional level. Helps you put shelves, pictures and ceramic tiles up straight since the laser level shows a clear laser line on the wall, even in daylight. Easy to use, even for one person  mount the laser level to the wall and have both hands free to work with. You can attach the laser level to all metal surfaces, making it easier to aim and create straight lines."
662,/us/en/images/products/fixa-screwdriver-lithium-ion__0711972_PE728600_S4.JPG,"Cordless screwdriver with bit holder. Onoff switch, which also works as a switch for rotation to the right/left. Builtin lithiumion battery with low selfdischarge rate so the power tool is ready to use whenever you need it. Electronic Cell Protection (ECP) prevents the battery from deep discharge, overloading and overheating, which could damage the battery. Easy to grip handle of soft synthetic rubber."
663,/us/en/images/products/fixa-screwdriver-drill-lithium-ion__0711977_PE728604_S4.JPG,"Twospeed cordless screwdriver/drill, one gear with low speeds for powerful screwdriving and one gear with high speeds for drilling. 19 torque settings for driving allows you to adjust the amount of torque to suit many different tasks. Builtin lithiumion battery with low selfdischarge rate so the power tool is ready to use whenever you need it. Electronic Cell Protection (ECP) prevents the battery from deep discharge, overloading and overheating, which could damage the battery. Easy to grip handle of soft synthetic rubber."
664,/us/en/images/products/fixa-screwdriver-drill-lithium-ion__0711979_PE728606_S4.JPG,"1speed cordless screwdriver/drill for general driving or simple drilling work. 15 torque settings for driving allows you to adjust the amount of torque to suit different tasks. Builtin lithiumion battery with low selfdischarge rate so the power tool is ready to use whenever you need it. Electronic Cell Protection (ECP) prevents the battery from deep discharge, overloading and overheating, which could damage the battery. Easy to grip handle of soft synthetic rubber."
665,/us/en/images/products/fixa-tape-measure__0711978_PE728605_S4.JPG,
666,/us/en/images/products/fjalla-magazine-file-gray__0711568_PE728330_S4.JPG,The label holder makes it easy to mark and find what you are looking for. Easy to assemble and easy to fold it up when you don’t need the magazine file and want to save space.
667,/us/en/images/products/fjalla-magazine-file-white__0711566_PE728328_S4.JPG,The label holder makes it easy to mark and find what you are looking for. Easy to assemble and easy to fold it up when you don’t need the magazine file and want to save space.
668,/us/en/images/products/fjalla-storage-box-with-lid-gray__0713080_PE729184_S4.JPG,"You can decide which side of the box you want to place the handle with label holder on. Fits BILLY bookcase and other units with shelves which are at least 7⅛"" deep. Perfect for storing smaller things, everything from desk accessories to makeup and hair accessories. Easy to assemble and easy to fold it up when you don’t need the box and want to save space."
669,/us/en/images/products/fjalla-storage-box-with-lid-gray__0713058_PE729187_S4.JPG,"You can decide which side of the box you want to place the handle with label holder on. The box fits the HEMNES storage series and other furniture/storage furniture with shelves which are at least 10"" deep. A good size for everything from papers and collectables to shoes and clothes. The label holder makes it easy to mark and find what you are looking for. Easy to assemble and easy to fold it up when you don’t need the box and want to save space."
670,/us/en/images/products/fjalla-storage-box-with-lid-gray__0713064_PE729168_S4.JPG,"Easy to pull out as the box has a handle. Fits EKET cabinet, 13¾"" deep, and other storage furniture with shelves which are at least 12"" deep. The label holder makes it easy to mark and find what you are looking for. Easy to assemble and easy to fold it up when you don’t need the box and want to save space."
671,/us/en/images/products/fjalla-storage-box-with-lid-gray__0711012_PE727893_S4.JPG,"This large box is ideal for everything from games and hobby items to clothes, blankets and pillows You can decide which side of the box you want to place the handle with label holder on. With boxes you can transform an empty space on top of your furniture into a practical storage space. Easy to pull out and lift as the box has handles. Easy to assemble and easy to fold it up when you don’t need the box and want to save space."
672,/us/en/images/products/fjalla-storage-box-with-lid-white__0713075_PE729179_S4.JPG,"You can decide which side of the box you want to place the handle with label holder on. The box fits the HEMNES storage series and other furniture/storage furniture with shelves which are at least 10"" deep. A good size for everything from papers and collectables to shoes and clothes. The label holder makes it easy to mark and find what you are looking for. Easy to assemble and easy to fold it up when you don’t need the box and want to save space."
673,/us/en/images/products/fjalla-storage-box-with-lid-white__0711023_PE727904_S4.JPG,"This large box is ideal for everything from games and hobby items to clothes, blankets and pillows You can decide which side of the box you want to place the handle with label holder on. With boxes you can transform an empty space on top of your furniture into a practical storage space. Easy to pull out and lift as the box has handles. Easy to assemble and easy to fold it up when you don’t need the box and want to save space."
674,/us/en/images/products/fjalla-desk-organizer-gray__0783564_PE761533_S4.JPG,"Helps you to keep your desk clear from small things like pens, rulers, mobile phone and USBs. Easy to pull out and carry as it has a handle."
675,/us/en/images/products/fjalla-desk-organizer-blue__0670024_PE715377_S4.JPG,"Helps you to keep your desk clear from small things like pens, rulers, mobile phone and USBs. Easy to pull out and carry as it has a handle."
676,/us/en/images/products/fjalla-magazine-file-blue__0670034_PE715385_S4.JPG,The label holder makes it easy to mark and find what you are looking for. Easy to assemble and easy to fold it up when you don’t need the magazine file and want to save space.
677,/us/en/images/products/fjalla-storage-box-with-lid-blue__0670039_PE715374_S4.JPG,"You can decide which side of the box you want to place the handle with label holder on. The box fits the HEMNES storage series and other furniture/storage furniture with shelves which are at least 10"" deep. A good size for everything from papers and collectables to shoes and clothes. The label holder makes it easy to mark and find what you are looking for. Easy to assemble and easy to fold it up when you don’t need the box and want to save space."
678,/us/en/images/products/fjalla-storage-box-with-lid-blue__0670025_PE715378_S4.JPG,"You can decide which side of the box you want to place the handle with label holder on. Fits BILLY bookcase and other units with shelves which are at least 7⅛"" deep. Perfect for storing smaller things, everything from desk accessories to makeup and hair accessories. Easy to assemble and easy to fold it up when you don’t need the box and want to save space."
679,/us/en/images/products/fjallbo-coffee-table-black__0475920_PE615876_S4.JPG,"This rustic metal and solid wood coffee table has a shelf for magazines so you always have them close at hand. Wood is a natural living material, and variations in the grain, color and texture makes each piece of wood furniture unique."
680,/us/en/images/products/fjallbo-laptop-table-black__0736007_PE740334_S4.JPG,"With this rustic metal and solid wood desk you get a flexible and functional workspace which fits in a small space. Wood is a natural living material, and variations in the grain, color and texture makes each piece of wood furniture unique. The casters allow you to easily move the laptop table and use it where you like. Adjustable feet allow you to level the table on uneven floors. Selfadhesive cable clips keep your cords in place and out of sight."
681,/us/en/images/products/fjallbo-tv-unit-black__0473390_PE614545_S4.JPG,"This rustic metal and solid wood TV bench has an open back, so it’s easy to arrange cords and cables. You can place electronic equipment behind the metal mesh doors since they allow signals to get through from your remote control. The storage unit stands steady on uneven floors since it has adjustable feet. This rustic shelf is made of metal and solid wood which makes every piece of furniture unique. Wood is a natural material, and variations in the grain, color, and texture make each piece of wood furniture unique."
682,/us/en/images/products/fjallbo-tv-storage-combination-black__0625394_PE692240_S4.JPG,"This rustic metal and solid wood shelf has an open back, so it’s easy to arrange cords and access power outlets. You can place electronic equipment behind the metal mesh doors since they allow signals to get through from your remote control. The storage unit stands steady on uneven floors since it has adjustable feet."
683,/us/en/images/products/fjallbo-shelf-unit-black__0473387_PE614538_S4.JPG,"This rustic metal and solid wood shelf has an open back, so it’s easy to arrange cords and access power outlets. A simple unit can be enough storage for a limited space or the foundation for a larger storage solution if your needs change. The storage unit stands steady on uneven floors since it has adjustable feet. This rustic shelf is made of metal and solid wood which makes every piece of furniture unique. Wood is a natural material, and variations in the grain, color, and texture make each piece of wood furniture unique."
684,/us/en/images/products/fjallbo-shelf-unit-black__0473389_PE614540_S4.JPG,"This rustic metal and solid wood shelf is perfect for both storing and displaying your things. A simple unit can be enough storage for a limited space or the foundation for a larger storage solution if your needs change. The storage unit stands steady on uneven floors since it has adjustable feet. This rustic shelf is made of metal and solid wood which makes every piece of furniture unique. Wood is a natural material, and variations in the grain, color, and texture make each piece of wood furniture unique."
685,/us/en/images/products/fjallbo-shelf-unit-black__0473388_PE614539_S4.JPG,"This rustic shelf is made of metal and solid wood which makes every piece of furniture unique. A simple unit can be enough storage for a limited space or the foundation for a larger storage solution if your needs change. The storage unit stands steady on uneven floors since it has adjustable feet. Wood is a natural material, and variations in the grain, color, and texture make each piece of wood furniture unique."
686,/us/en/images/products/fjallbo-wall-shelf-black__0670302_PE715438_S4.JPG,"This rustic metal and solid wood shelf is perfect for both storing and displaying your things. Wood is a natural material, and variations in the grain, color, and texture make each piece of wood furniture unique."
687,/us/en/images/products/flimra-glass__0713236_PE729346_S4.JPG,"The glass has a simple tall and straight shape which makes it perfect for all types of cold drinks, such as carbonated cocktails with a lot of ice."
688,/us/en/images/products/flimra-glass__0712422_PE728841_S4.JPG,"The glass has a simple low and straight shape which makes it perfect for all types of cold drinks, such as cocktails with ice."
689,/us/en/images/products/flimra-goblet__0713233_PE729343_S4.JPG,"The glass has a large bowl which helps the wine’s aromas and flavors to develop better, enhancing your experience."
690,/us/en/images/products/flisat-knob-rack-with-knobs__0710633_PE727665_S4.JPG,"Your child’s things won’t fall off, thanks to the coneshaped knobs. Your child can hang and keep things organized by themself if you hang the knob rack at a childfriendly height. Made of solid wood"
691,/us/en/images/products/flisat-children-s-stool__0727952_PE735964_S4.JPG,Made of solid wood Easy to assemble without tools or screws.
692,/us/en/images/products/flisat-children-s-table__0735831_PE740206_S4.JPG,"This children’s desk becomes both a practical place for arts and crafts, as well as a useful storage solution, if completed with TROFAST storage boxes in different sizes and colors. With TROFAST storage boxes underneath the lids, it’s easy for your child to reach their toys – and clean up in a jiff!"
693,/us/en/images/products/flisat-children-s-desk__0735857_PE740222_S4.JPG,"The desk can be adjusted to three different heights, so it can be used for homework or arts and crafts for many years. The desktop can be tilted to help your child vary their work posture. The groove prevents pens and other smaller items from falling down when the desktop is tilted. Your child can keep drawing paper on hand at all times, as the desk has a holder dimensioned for MÅLA drawing paper roll. If you need extra storage, you can add TROFAST storage boxes that fit the slats underneath the desk."
694,/us/en/images/products/flisat-wall-storage__0642799_PE701440_S4.JPG,"Your child can easily find that favorite book, as the wall storage has an open front. If you hang the wall storage at a childfriendly height, it’s easy for your child to reach their favorite book for story time. Made of solid wood"
695,/us/en/images/products/flisat-book-display__0710634_PE727667_S4.JPG,"This book display lets your child collect and reach their books without your help. Your child can easily find that favorite book, since all the covers are visible. You can easily bring the book display to your favorite corner when it’s time for a story."
696,/us/en/images/products/flisat-doll-house-wall-shelf__0710145_PE727347_S4.JPG,"This doll’s house lets your child make a home for their dolls and play with them. When your child grows up, the doll’s house can be used as a shelf for books, photos or other items that your child wants to display."
697,/us/en/images/products/flisat-toy-storage-with-casters__0747570_PE744591_S4.JPG,The toy storage with wheels makes it easy for your child to collect and move toys from one room to another. The durable plastic wheels roll softly and smoothly across the floor.
698,/us/en/images/products/flisat-child-s-bench__0728031_PE736021_S4.JPG,The bench can be used as a seat for several years since it has three height settings.
699,/us/en/images/products/flitighet-piece-dinnerware-set-white__0629499_PE694327_S4.JPG,
700,/us/en/images/products/flitighet-bowl-white__0712000_PE728651_S4.JPG,
701,/us/en/images/products/flitighet-deep-plate-bowl-white__0712322_PE728770_S4.JPG,
702,/us/en/images/products/flitighet-plate-white__0713476_PE729547_S4.JPG,
703,/us/en/images/products/flitighet-side-plate-white__0713484_PE729555_S4.JPG,
704,/us/en/images/products/flyttbar-box-with-lid-green__0711042_PE727918_S4.JPG,Low storage makes it easier for children to reach and organize their things. Easy for your child to lift and move since the box has a handle.
705,/us/en/images/products/flyttbar-toy-trunk-red__0711044_PE727920_S4.JPG,"A trunk for toys that looks like a suitcase – perfect for everything needed when it’s time to go on an adventure at home. The practical handle makes the trunk easy to take out and put away, even for small children. It’s also easy to open and close since the lid attaches with touchandclose fastening. Easy to label with a name or contents since the trunk has a label holder sewn on the lid. Press together to save space when not in use."
706,/us/en/images/products/flyttbar-underbed-storage-box-gray__0710631_PE727664_S4.JPG,"Imagine having your own underbed storage box that looks like a suitcase with both a handle and an address holder. Perfect for both toys and secrets. The practical size makes the underbed storage box easy to take out and put away. It’s also easy to open and close, even for small children, since the lid attaches with touchandclose fastening."
707,/us/en/images/products/flyttbar-storage-box-orange__0711048_PE727919_S4.JPG,"Perfect for the little traveller who dreams of travelling – a storage box with an outer pocket, 2 pockets with zippers, a handle, a retractsble handle, an address holder and wheels in foam. Easy to take out and put away, even for small children, since the storage box has both a normal handle and a retractable handle."
708,/us/en/images/products/flyttbar-toy-trunk-turquoise__0711039_PE727915_S4.JPG,"A trunk for toys that looks like a suitcase – perfect for everything needed when it’s time to go on an adventure at home. The practical handle makes the trunk easy to take out and put away, even for small children. It’s also easy to open and close since the lid attaches with touchandclose fastening. Easy to label with a name or contents since the trunk has a label holder sewn on the lid. Press together to save space when not in use."
709,/us/en/images/products/flyttbar-basket-with-lid-green__0711026_PE727907_S4.JPG,"Colorful basket with room for everything from toys and clothes to important personal items. Easy to open and close, even for small children, since the lid attaches with touchandclose fastening. Press together to save space when not in use."
710,/us/en/images/products/flyttbar-basket-with-lid-yellow__0711047_PE727923_S4.JPG,"Colorful basket with room for everything from toys and clothes to important personal items. Easy to open and close, even for small children, since the lid attaches with touchandclose fastening. Press together to save space when not in use."
711,/us/en/images/products/fornyad-shopping-bag-large-assorted-colors__0710921_PE727841_S4.JPG,Easy to keep clean – just rinse and dry. Takes little room to store as it folds flat. Also suitable for recycling.
712,/us/en/images/products/fornyad-pedal-bin-assorted-colors__0710997_PE727860_S4.JPG,"Easy to empty and clean as the inner bucket can be removed. The bin is easy to move since it has a handle on the back. You can use this bin anywhere in your home, even in damp areas like the kitchen and bathroom."
713,/us/en/images/products/fornyad-hanger-blue__0710936_PE727858_S4.JPG,"No visible screws, as the hardware is concealed. The playful look is inspired by Darcel – a cartoon figure that personally describes life in New York."
714,/us/en/images/products/klippan-loveseat-multicolor__0710904_PE727835_S4.JPG,Extra covers to alternate with mean it's easy to give both your sofa and room a new look. The cover is easy to keep clean as it is removable and can be machine washed. 10year limited warrranty. Read about the terms in the limited warranty brochure.
715,/us/en/images/products/klippan-loveseat-cover-multicolor__0710904_PE727835_S4.JPG,The cover is easy to keep clean as it is removable and can be machine washed.
716,/us/en/images/products/fornyad-rug-low-pile-black__0710983_PE727865_S4.JPG,"The thick pile dampens sound and provides a soft surface to walk on. Durable, stain resistant and easy to care for since the rug is made of synthetic fibers."
717,/us/en/images/products/fornyad-side-table-on-casters-black__0710981_PE727863_S4.JPG,"Wheels make it easy to move. When you move the side table, things are kept in place thanks to the high edges of the shelves. The playful look is inspired by Darcel – a cartoon figure that personally describes life in New York. Separate shelf for magazines, etc. helps you keep your things organized and the table top clear. The clearlacquered surface is easy to wipe clean and is stain resistant."
718,/us/en/images/products/fornyad-stool-white__0710978_PE727884_S4.JPG,
