,Unnamed: 0,img_url,description
2654,2654,/us/en/images/products/stockholm-bowl__0640457_PE699842_S4.JPG,Fill the bowl with decorations or use it alone as a beautiful object in its own right. Stainless steel; gives the bowl weight and extra stability. Soft feet stabilizes the bowl and protects the underlying surface.
3171,3171,/us/en/images/products/tyssedal-door-with-hinges-white__0311604_PE429456_S4.JPG,"10year Limited Warranty. Read about the terms in the Limited Warranty brochure. The door can be hung to open either right or  left. Hinges with integrated dampers catch the door and close it slowly, silently and softly TYSSEDAL is made with craftsmanship and a handmade look in mind, and the long lasting design comes in a durable painted finish. The craftsmanship look comes from the rounded, bevelled edges of the panels and frames. This popular door comes as solid, glass door and a fullsized mirror door. This way you can create a coordinated solution with the functions that fits your needs."
2361,2361,/us/en/images/products/sinnlig-scented-candle-in-glass-orange__0640387_PE699767_S4.JPG,"Scent of ripe peaches and exotic fruits with hints of fresh oranges. You can easily change the look of the candle by putting it in SKURAR candle holder. The candle has the same beautiful color during its entire burn time, because it is colored through. When the candle has burned itself out the cup can be used as a tealight holder."
1805,1805,/us/en/images/products/malm-drawer-chest-black__0651168_PE706780_S4.JPG,Can also be used as a nightstand. Real wood veneer will make this chest of drawers age gracefully. Smooth running drawers with pullout stop.
1107,1107,/us/en/images/products/hemnes-add-on-unit-for-desk-black__0623690_PE691304_S4.JPG,"You can make room for a computer monitor or extra storage by adjusting the middle shelf. Solid wood is a durable natural material. Builtin cable management for collecting cables and cords out of sight but close at hand. The shelves can be tilted, providing practical storage for papers and documents."
325,325,/us/en/images/products/ikea-bowl-white__0712206_PE728659_S4.JPG,"Made of feldspar porcelain, which makes the deep plate/bowl impact resistant and durable. Practical and useful deep plate/bowl, suitable both for serving and eating from. The timeless and smart design makes the dinnerware meet all your needs at home, regardless of what you eat and drink, and withstand being used 365 days a year. The dinnerware’s smart design allows you to stack the smaller sizes inside the larger ones and get more room for other things, as they take very little vertical space."
2073,2073,/us/en/images/products/sanning-mug-white__0417227_PE587410_S4.JPG,"Made of tempered glass, which makes the mug durable and extra resistant to impact. All parts of this dinnerware have different shapes and floral patterns, so that you can mix and match and set a truly personal table."
2203,2203,/us/en/images/products/poang-ottoman-black__22058_PE106997_S4.jpg,"The frame is made of layerglued bent birch which is a very strong and durable material. You can use the ottoman together with POÄNG armchair to sit in an even more comfortable and relaxed position. Soft, durable and easy care leather which is practical for families with children. A variety of seat cushion designs makes it easy to change the look of your POÄNG chair and your living room. 10year limited warrranty. Read about the terms in the limited warranty brochure."
2953,2953,/us/en/images/products/kaveldun-throw-white__0610182_PE684840_S4.JPG,"Wool is stainrepellent, durable and provides good insulation."
1812,1812,/us/en/images/products/malm-high-bed-frame-storage-boxes__0638624_PE699041_S4.JPG,"Ample storage space is hidden neatly under the bed in 2 large drawers. Perfect for storing quilts, pillows and bed linen. The storage boxes are easy to roll out and in thanks to the castors on the base. MALM bed storage boxes work perfectly with MALM bed frame. They fit neatly into the space under the bed and will be flush against sides. Wood veneer gives you the same look, feel and beauty as solid wood with unique variations in grain, color and texture. You can sit up comfortably in bed thanks to the high headboard – just prop some pillows behind your back and you will have a comfortable place to read or watch TV. This versatile bed frame will look great with your choice of textiles and bedroom furniture. Adjustable bed sides allow you to use mattresses of different thicknesses. The slatted bed base has 17 layerglued slats that adjust to your body weight and increase the suppleness of the mattress."
2940,2940,/us/en/images/products/lindelse-rug-high-pile-beige__0555107_PE660140_S4.JPG,"The dense, thick pile dampens sound and provides a soft surface to walk on. Durable, stain resistant and easy to care for since the rug is made of synthetic fibers."
1535,1535,/us/en/images/products/kvarnvik-storage-box-with-lid-blue__0711015_PE727896_S4.JPG,"You can decide which side of the box you want to place the handle with label holder on. A good size for slightly larger things like clothes, media accessories and toys. Fits EKET cabinet, 13¾"" deep, and other storage furniture with shelves which are at least 12"" deep."
541,541,/us/en/images/products/eket-storage-combination-with-legs-red__0716567_PE730919_S4.JPG,"Hide or display your things by combining open and closed storage. A low combination provides convenient storage space under a window, stairs, etc. The door has an integrated pushopener so you can open it with just a light push. Metal legs raise your EKET combination from the floor, giving a light airy look and making it easy to clean the floor underneath. Adjustable feet make it possible to compensate any irregularities in the floor."
582,582,/us/en/images/products/ektorp-seat-sofa-white__0583615_PE671275_S4.JPG,"10year limited warrranty. Read about the terms in the limited warranty brochure. Reversible back cushions filled with polyester fibers provide soft support for your back and two different sides for longer wear. Seat cushions filled with high resilience foam and polyester fiber wadding provide comfortable support for your body when seated, and easily regain their shape when you rise. The cover is easy to keep clean as it is removable and can be machine washed."
2077,2077,/us/en/images/products/toppklocka-children-s-apron-with-chef-s-hat-white__0710499_PE727596_S4.JPG,"Has touchandclose fastening which easily loosens if your child gets stuck. The chef’s hat fits children of different ages, since it’s elastic. Loops make it easy to hang the children’s apron and chef’s hat away when not in use."
3245,3245,/us/en/images/products/vallentuna-sectional-seat-black__0731597_PE738337_S4.JPG,"All modules in the VALLENTUNA series can be used freestanding or together to create a sofa combination in any size that suits you perfectly. VALLENTUNA retains its comfort for a long time with generous seating and pocket springs that follow your body. This combination includes 2 seat modules with storage that allow you to quickly clear away your things but still have them close at hand. MURUM fixed cover is made of polyester with a protective polyurethane surface that makes it both soft and firm, while the cover is very durable and easycare at the same time. The cover is easy to keep clean as it can be wiped clean with a damp cloth. 10year limited warrranty. Read about the terms in the limited warranty brochure."
1318,1318,/us/en/images/products/industriell-pendant-lamp-assorted-colors__0579806_PE669929_S4.JPG,"Gives a soft glowing light, that gives your home a warm and welcoming atmosphere. Easy to take home since the pendant lamp comes in a flat pack."
489,489,/us/en/images/products/ekedalen-chair-gray__0728287_PE736164_S4.JPG,"The upholstered seat and comfortable angle of the backrest make the chair perfect for long dinners. You can choose from several different seat covers and switch between them when you like. The cover is easy to remove, machine wash and put back on again. Solid wood chair frame makes the construction durable and very sturdy. Easy to combine with tables and benches in the same series. May be completed with FIXA selfadhesive floor protectors to protect the underlying surface against wear."
2337,2337,/us/en/images/products/silveran-corner-unit-white__0650194_PE706109_S4.JPG,You can move the shelf and adjust the spacing according to your personal needs. You can mount the door to open from the right or left. Adjustable feet for increased stability and protection against wet floors. Perfect in a small bathroom.
142,142,/us/en/images/products/gnedby-shelf-unit-white__0644265_PE702542_S4.JPG,Adjustable shelves can be arranged according to your needs.
1108,1108,/us/en/images/products/himmelsk-piece-bedlinen-set-for-crib-turquoise__0609108_PE684327_S4.JPG,"The tightlywoven fabric is of 100% cotton and extra durable, faderesistant and soft. Everything needed to make the crib ready for a new family member. Perfect to give as a gift to new parents. The color and pattern of the duvet cover are easy to combine with other textiles."
376,376,/us/en/images/products/rydeback-table-orange__0399533_PE566319_S4.JPG,The table top is produced with a lightweight construction that requires less material than solid wood and reduces the impact on the environment. The clearlacquered surface is easy to wipe clean. The table top has predrilled holes for the underframe which makes assembly easy.
663,663,/us/en/images/products/fixa-screwdriver-drill-lithium-ion__0711977_PE728604_S4.JPG,"Twospeed cordless screwdriver/drill, one gear with low speeds for powerful screwdriving and one gear with high speeds for drilling. 19 torque settings for driving allows you to adjust the amount of torque to suit many different tasks. Builtin lithiumion battery with low selfdischarge rate so the power tool is ready to use whenever you need it. Electronic Cell Protection (ECP) prevents the battery from deep discharge, overloading and overheating, which could damage the battery. Easy to grip handle of soft synthetic rubber."
3184,3184,/us/en/images/products/urskog-bath-towel-blue__0565084_PE664291_S4.JPG,"A terry cloth for children. Made of 100% sustainably grown cotton ‒ a soft and natural material that feels good against your child's skin. Tested, approved and completely free from harmful substances and additives. Warm and comfortable to get into after a bath, at home or at the beach since the child can be completely wrapped in the towel which is also highly absorbent so that your child gets dry quickly. The loop makes it easy to hang on a knob or hook."
2123,2123,/us/en/images/products/smycka-artificial-leaf-green__0638910_PE699263_S4.JPG,Lifelike artificial leaves that remain just as freshlooking and beautiful year after year. You can bend and adjust the flower any way you want because of the steel wire in the stem. The stem can be shortened by using cutting pliers.
2071,2071,/us/en/images/products/sanning-side-plate-white__0416965_PE592227_S4.JPG,"Made of tempered glass, which makes the side plate durable and extra resistant to impact. All parts of this dinnerware have different shapes and floral patterns, so that you can mix and match and set a truly personal table."
464,464,/us/en/images/products/dyrgrip-white-wine-glass__0712421_PE728840_S4.JPG,"The crystalline glass has a shiny luster and creates a beautiful reverberation when you toast with family and friends. With a shine and clarity similar to crystal glass, but completely leadfree. The glass has an elongated bowl which keeps the wine cool and makes the aromas more distinct, enhancing your experience of the drink."
2672,2672,/us/en/images/products/stockholm-mirror__0633573_PE695907_S4.JPG,"Safety film  reduces damage if glass is broken. The frame around the bottom of the mirror forms a shelf where you can put your makeup, mobile phone or wallet. Suitable for use in most rooms, and tested and approved for bathroom use."
2010,2010,/us/en/images/products/ordning-scale__0711111_PE727967_S4.JPG,Can be set to zero with the content in the bowl. You can slide in the display to save space.
2796,2796,/us/en/images/products/marsipan-marzipan__0585644_PE671795_S4.JPG,"A product mainly consisting of almonds and sugar. Eat it as it is, or use when making homemade cookies, cakes or sweets."
764,764,/us/en/images/products/galant-cabinet-with-doors__0612974_PE686106_S4.JPG,"10year Limited Warranty. Read about the terms in the Limited Warranty brochure. Suitable for use in the middle of a room since it is finished on the back. Integrated damper makes doors close silently and gently. Space behind the shelves makes it easy to collect and lead cords and cables to the cord outlet in the back. You can adjust your storage according to your needs, as the shelves are adjustable. The included hook can be used to hang bags and other items on, even if you have an addon unit on top. You can make optimal use of wall space and save floor space by using an addon unit to build vertically."
635,635,/us/en/images/products/fintorp-hook__0712625_PE728941_S4.JPG,Use the hooks to store your kitchenware on the wall and fit more into your cabinets and drawers. Can be hung on FINTORP rail.
2389,2389,/us/en/images/products/sjalland-reclining-chair-outdoor__0728353_PE736201_S4.JPG,"The back of the chair can be adjusted to six different positions. Easy to fold up and put away. You can make your chair more comfortable and personal by adding a chair pad in a style you like. The chair comes preassembled, so you can start using it immediately. The frame is made of rustproof aluminum which makes it sturdy, lightweight, and maintenance free. The eucalyptus slats have grain variations and natural color shifts that give the furniture a warm and natural look. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
998,998,/us/en/images/products/hemnes-mirror-cabinet-with-door-white__0721675_PE733348_S4.JPG,"The adjustable shelf is extra heat and impactresistant and has a high loadbearing capacity since it is made of tempered glass. The mirror comes with safety film on the back, which reduces the risk of injury if the glass is broken."
3048,3048,/us/en/images/products/tornviken-box-gray__0595410_PE676056_S4.JPG,"A flexible box that you can place in an open cabinet and also lift out and place somewhere – like on the countertop or the dining table. Felt under the box dampens the sound and protects against scratches when you remove and replace the box. Ideal for things that you often use in your kitchen and want close at hand – like spices, pens or other things. 10year Limited Warranty. Read about the terms in the Limited Warranty brochure."
83,83,/us/en/images/products/applaro-table-reclining-chairs-outdoor__0736058_PE740370_S4.JPG,"The dropleaves can be folded and removed, so you can quickly adjust the table size according to your needs. The hole in the middle of the table top keeps your umbrella in place. You can make your chair more comfortable and personal by adding a chair pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The back of the chair can be adjusted to five different positions."
1124,1124,/us/en/images/products/harliga-glass-dome-with-base__0639833_PE699598_S4.JPG,The glass dome with base can be used to display your favorite decorative items.
1842,1842,/us/en/images/products/micke-desk-white__0736018_PE740345_S4.JPG,"It’s easy to keep cords and cables out of sight but close at hand with the cable outlet at the back. You can mount the storage unit to the right or left, according to your space or preference. Air ventilates effectively around your computer or other equipment because of an opening in the back panel. Drawer stops prevent the drawers from being pulled out too far. Can be placed anywhere in the room because the back is finished. You can extend your work surface by combining desks and drawer units. All desks and drawer units in the MICKE series are the same height. You can adjust the shelves to fit different things, and adjust them again whenever you need to. Adjustable shelves help you use your space more efficiently."
807,807,/us/en/images/products/godmorgon-mirror__0637663_PE698433_S4.JPG,"Mounting hardware is adjustable in depth, leaving room for light cords. The mirror comes with safety film on the back, which reduces the risk of injury if the glass is broken."
1627,1627,/us/en/images/products/liatorp-panel-glass-door-white__0637308_PE698230_S4.JPG,Panel/glass doors provide dustfree storage and let you hide or display things according to your needs.
391,391,/us/en/images/products/ryggestad-tabletop-black__0317318_PE516472_S4.JPG,"There’s a natural and living feeling of wood, as knots and other marks remain on the surface. The table top has predrilled holes for the underframe which makes assembly easy. We have tested it for you! The table’s surface is resistant to liquids, food stains, oil, heat, scratches and bumps."
3235,3235,/us/en/images/products/vallentuna-mod-sofa-seat-w-slpr-sections-gray__0729871_PE737222_S4.JPG,All modules in the VALLENTUNA series can be used freestanding or together to create a sofa combination in any size that suits you perfectly. VALLENTUNA retains its comfort for a long time with generous seating and pocket springs that follow your body. This combination includes 2 sleeper modules that are easy to transform into beds and allow you to accommodate guests both day and night. ORRSTA cover is woven from cotton and polyester with a light structure that makes it soft and comfortable. The yarndyed fabric has a toneontone effect and a clean and calm look. The cover is easy to keep clean since it is removable and machine washable. 10year limited warrranty. Read about the terms in the limited warranty brochure.
585,585,/us/en/images/products/ektorp-sofa-cover-yellow__0515736_PE639993_S4.JPG,The cover is easy to keep clean as it is removable and can be machine washed. A range of coordinated covers makes it easy for you to give your furniture a new look.
1254,1254,/us/en/images/products/ikea-holder-for-container-white__0713743_PE729741_S4.JPG,"With this holder for container, you can use the space under your shelves in a smart and efficient way. The holders are flexible and can be used for both square and rectangular containers in the IKEA 365+ series."
106,106,/us/en/images/products/applaro-bar-table-and-bar-stools-outdoor-beige__0736484_PE740575_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The cushion has a longer life because it can be turned over and used on both sides."
3067,3067,/us/en/images/products/tostero-cover-for-outdoor-furniture-black__0705285_PE725819_S4.JPG,"TOSTERÖ waterproof covers will protect your outdoor furniture from rain, sun, snow, dirt, dust, and pollen when not in use. Protecting your outdoor furniture with a waterproof cover is an easy and effective way to keep it looking fresh and new longer, before any maintenance is needed."
2826,2826,/us/en/images/products/vasnas-tealight-holder__0640452_PE699834_S4.JPG,The clear glass reflects and enhances the warm glow of the candle flame. We made VÄSNAS holders stackable so you would have room to store them when not in use.
687,687,/us/en/images/products/flimra-glass__0713236_PE729346_S4.JPG,"The glass has a simple tall and straight shape which makes it perfect for all types of cold drinks, such as carbonated cocktails with a lot of ice."
2900,2900,/us/en/images/products/aina-cushion-cover-beige__0569582_PE665973_S4.JPG,"The cushion cover is made of linen, a durable natural material with slightly irregular texture. The ties make the cover easy to remove and adds a decorative detail."
1501,1501,/us/en/images/products/kungsfors-shelf__0709886_PE727146_S4.JPG,Saves space on the countertop You can choose to mount it directly to the wall or with the help of KUNGSFORS suspension rail.
2564,2564,/us/en/images/products/sniglar-crib__0637930_PE698615_S4.JPG,The bed base can be placed at two different heights. One bed side can be removed when the child is able to safely climb into and out of the bed. Your baby will sleep both safely and comfortably as the durable materials in the crib base have been tested to ensure they give their body the support it needs. The crib base is well ventilated for good air circulation which gives your child a pleasant sleeping climate.
3518,3518,/us/en/images/products/ypperlig-vase-green__0505229_PE633791_S4.JPG,Handpainted by a skilled craftsperson.
226,226,/us/en/images/products/brimnes-tv-storage-combination-black__0724174_PE734351_S4.JPG,"This TV unit has large drawers that make it easy to keep remote controls, game controllers and other TV accessories organized. Adjustable shelves, so you can customize your storage as needed. Cable outlets make it easy to lead cables and cords out the back so they’re hidden from view but close at hand when you need them. If you complete with cabinet lighting you get a nice light that shines through the glass shelves and creates a cozy atmosphere in the room. With a glassdoor cabinet, you can show off as well as protect your glassware or your favorite collection."
1355,1355,/us/en/images/products/kalkgrund-toothbrush-holder__0718826_PE731697_S4.JPG,It’s easy to keep the toothbrush holder clean as the base is removable. The chrome finish is durable and resistant to corrosion.
1280,1280,/us/en/images/products/ikea-ihardig-spice-mill-black__0114945_PE267933_S4.JPG,"By attaching the grinding mechanism to the IKEA 365+ IHÄRDIG spice jars, you can easily change the spices in the mill. The grinding mechanism is on the top, which prevents spices from getting on to the table or shelf. Has a ceramic grinding mechanism which is harder and more durable than steel grinders."
2723,2723,/us/en/images/products/stuk-hanging-shoe-organizer-w-pockets__0710650_PE727680_S4.JPG,There’s plenty of room for both shoes and small things in the 16 pockets.
235,235,/us/en/images/products/brimnes-nightstand-black__0624434_PE691841_S4.JPG,In the drawer there is room for an power strip for your chargers. You can run the plug to the outlet through the back.
3158,3158,/us/en/images/products/trysil-wardrobe-w-sliding-doors-drawers-brown__0452603_PE601522_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why a safety fitting is included so that you can attach the wardrobe to the wall. Sliding doors allow more room for furniture because they don’t take any space to open. Smooth running drawers with pullout stop. If you want to organize inside you can complement with SKUBB box, set of 6."
3145,3145,/us/en/images/products/trofast-lid-white__0710811_PE727775_S4.JPG,Vent and handle in one.
1846,1846,/us/en/images/products/micke-add-on-unit-high-black__0644326_PE702602_S4.JPG,"Extra room above the top shelf where you can keep your books, CDs or DVDs. The side panels act as bookends and keep everything in place. You can adjust the shelves to fit different things, and adjust them again whenever you need to. Adjustable shelves help you use your space more efficiently."
3127,3127,/us/en/images/products/trofast-wall-storage-white__0642814_PE701455_S4.JPG,A playful and sturdy storage series for storing and organizing toys. Practical storage for small things.
956,956,/us/en/images/products/havsta-storage-combination-w-glass-doors-white__0720160_PE732453_S4.JPG,"Made of wood from sustainable sources. Solid pine with crafted details and a brushed surface gives a genuine, sturdy feeling, a timeless look and it will age gracefully. Glass doors keep your finest items free from dust but still visible. The shelves in tempered glass with wooden edges are durable and give the furniture a slim, light and airy look. Tempered glass is more impact resistant than ordinary glass. The height of the furniture allows the top to be used as a display surface. Movable shelves in closed storage and shelving units make it easy to adapt the space to your storage needs. The doors close quietly and softly thanks to the integrated softclosing function. The surface is durable and easy to keep clean. The toekicks give HAVSTA a classic, timeless and uniform look. Scandinavian design with clean simple lines makes it easy to combine the cabinet with furniture in different styles. Solid wood is natural, renewable and separable material. Matches other furniture in the HAVSTA series."
3437,3437,/us/en/images/products/vimle-chaise-brown__0690975_PE723591_S4.JPG,"This soft and cozy chaise will have a long life as the seat cushions are filled with high resilience foam that gives good support for your body and quickly restores to its original shape when you get up. The chaise has storage under the seat. The lid automatically stops in the open position so that you can easily pick out and put back the things that you are storing. The fixed FARSTA coated fabric cover has an irregular surface texture with a light shine and a smooth feel. A protective polyurethane coating makes the cover is easy to keep clean and makes it feel and look like leather. The cover is easy to keep clean as it can be wiped clean with a damp cloth. You can complete with VIMLE headrest to extend the backrest of the sofa, so that you sit even more comfortably with a nice support for your neck. 10year limited warrranty. Read about the terms in the limited warranty brochure."
460,460,/us/en/images/products/dynan-add-on-shelf-white__0469433_PE612257_S4.JPG,You easily create a storage solution that suits your bathroom perfectly by combining this addon shelf with other furniture in the DYNAN series. Soft rounded shapes and corners make the furniture safe for both children and adults. Perfect in a small bathroom.
2518,2518,/us/en/images/products/skurup-floor-reading-lamp-black__0627646_PE693462_S4.JPG,You can easily direct the light where you want it because the lamp arm and head are adjustable. Provides a directed light that is great for reading.
2954,2954,/us/en/images/products/leikny-cushion-cover-multicolor__0595319_PE675967_S4.JPG,The cushion cover matches perfectly with EKTORP sofa and arm chair because it is made of the same floral fabric. Cotton is a soft and easycare natural material that you can machine wash. The zipper makes the cover easy to remove.
1093,1093,/us/en/images/products/hemnes-wall-bridging-shelf__0720644_PE732733_S4.JPG,Solid wood has a natural feel. You can use the wall/bridging shelf separately or create a holistic solution with side storage and a TV bench.
2475,2475,/us/en/images/products/skanka-wok-with-lid-gray__0084591_PE211403_S4.JPG,"The pan has extra thick walls and base, which distribute the heat evenly. Thick base prevents food from easily burning and sticking to the pan. The pan's low weight makes it easy to handle when filled with food. Made from aluminum, which spreads heat evenly and energy efficiently, and makes it easier to regulate heat so the food does not burn and stick. Treated with Teflon® Select, a hardwearing nonstick coating that allows cooking with little fat and makes cleaning easy. The glass lid does not conduct heat away from the pan which helps bring the contents quickly to the boil and reduces the energy consumption. Comfortable handles make the cookware easy to lift. Two handles make it easy to lift the pan. The heat is highest at the bottom, and the sloping sides make the food drop down. Constantly stir the food for a crisp result. PFOA free."
2333,2333,/us/en/images/products/silveran-high-cabinet-with-doors-white__0721626_PE733299_S4.JPG,You can move the shelf and adjust the spacing according to your personal needs. You can mount the door to open from the right or left. Perfect in a small bathroom.
1223,1223,/us/en/images/products/ikea-lunch-bag-green__0712772_PE729004_S4.JPG,Easy to pack and reach the contents since the bag has a long zipper that makes the opening large. Inside the bag there is a pocket for cutlery or other utensils. Easy to hang over your shoulder since the straps are long. Stands steady thanks to the flat base.
2427,2427,/us/en/images/products/skadis-container-white__0711420_PE728236_S4.JPG,"Good for storing pens, toothbrushes or coins. Easy to attach and move ‒ no tools needed."
2359,2359,/us/en/images/products/sinnlig-scented-candle-in-glass-orange__0499299_PE630197_S4.JPG,"Scent of ripe peaches and exotic fruits with hints of fresh oranges. The candle has the same beautiful color during its entire burn time, because it is colored through. When the candle has burned itself out the cup can be used as a tealight holder. You can easily change the look of the candle by putting it in SKURAR candle holder."
2336,2336,/us/en/images/products/silveran-high-cabinet-with-mirror-door-white__0650193_PE706107_S4.JPG,You can mount the door to open from the right or left. The shallow sink cabinet is perfect where space is limited. Adjustable feet for increased stability and protection against wet floors.
278,278,/us/en/images/products/delaktig-sofa-gray__0668330_PE714361_S4.JPG,"Start by choosing a flexible seating solution – armchair or sofa. Then complete with backrest/armrests, side tables, and lamps so that you get exactly the piece that suits your needs and space best. You can also choose different covers for each piece. Add, remove or change functions to suit your needs, and choose covers to fit your style. You can also use the sofa as a guest bed if a friend misses the last bus home. The cover is easy to keep clean as it is removable and can be washed. The zipper makes the cover easy to remove. 10year limited warrranty. Read about the terms in the limited warranty brochure."
234,234,/us/en/images/products/brimnes-bed-frame-with-storage-black__0638599_PE699030_S4.JPG,"Ample storage space is hidden neatly under the bed in 4 large drawers. Perfect for storing quilts, pillows and bed linen. This compact bed frame fits easily in tight spaces and under low ceilings, allowing you to maximize the space in your bedroom. The storage boxes are easy to roll out and in thanks to the castors on the base. This versatile bed frame will look great with your choice of textiles and bedroom furniture. Adjustable bed sides allow you to use mattresses of different thicknesses. 17 layerglued slats adjust to your body weight and increase the suppleness of the mattress."
2401,2401,/us/en/images/products/sjalland-table-armchairs-outdoor-gray__0787495_PE763250_S4.JPG,"You can choose between tabletops in different materials, depending on what suits you and your patio ‒ and if you prefer a maintenancefree material like aluminum or the warmth of durable eucalyptus. Easy to keep clean – just wipe with a damp cloth. The eucalyptus slats have grain variations and natural color shifts that give the furniture a warm and natural look. The frame is made of rustproof aluminum which makes it sturdy, lightweight, and maintenance free. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The chair can be stacked to save space."
2367,2367,/us/en/images/products/sinnlig-scented-candle-in-glass-brown__0498626_PE629725_S4.JPG,"Scent of hazelnut and soft caramel with a tone of burnt sugar. The candle has the same beautiful color during its entire burn time, because it is colored through. When the candle has burned itself out the cup can be used as a tealight holder. You can easily change the look of the candle by putting it in SKURAR candle holder."
2806,2806,/us/en/images/products/vintersaga-gingerbread-house__0661306_PE711424_S4.JPG,"Probably Sweden’s most iconic Christmas decoration. A model house made of baked gingerbread dough. Decorate with icing and candy. Join the pieces with icing according to instructions in the package. In wintertime, Swedish families gather and make their homes cozy by preparing Christmas decorations while enjoying good things to eat. The home becomes a serene shelter from the winter cold."
944,944,/us/en/images/products/havsta-glass-door-cabinet-with-base__0720097_PE732409_S4.JPG,"Solid pine with crafted details and a brushed surface gives a genuine, sturdy feeling, a timeless look and it will age gracefully. Made of wood from sustainable sources. You can choose to use one unit or combine several to create a larger storage solution if your needs change. Glass doors keep your finest items free from dust but still visible. The height of the furniture allows the top to be used as a display surface, so you can show even more of your favorite things. The shelves in tempered glass with wooden edges are durable and give the furniture a slim, light and airy look. The doors close quietly and softly thanks to the integrated softclosing function. The surface is durable and easy to keep clean. Scandinavian design with clean simple lines makes it easy to combine the cabinet with furniture in different styles. Tempered glass is more impact resistant than ordinary glass. Solid wood is natural, renewable and separable material. Matches other furniture in the HAVSTA series."
3408,3408,/us/en/images/products/vimle-sectional-seat-corner-black__0514375_PE639464_S4.JPG,"This soft and cozy sofa will have a long life as the seat cushions are filled with high resilience foam that gives good support for your body and quickly regains its original shape when you get up. The sofa's sections can be combined in different ways to get a size and shape that suits you. If you ever need a larger sofa, you can always add a section or two. The fixed FARSTA coated fabric cover has an irregular surface texture with a light shine and a smooth feel. A protective polyurethane coating makes the cover is easy to keep clean and makes it feel and look like leather. The cover is easy to keep clean as it can be wiped clean with a damp cloth. You can complete with VIMLE headrest to extend the backrest of the sofa, so that you sit even more comfortably with a nice support for your neck. 10year limited warrranty. Read about the terms in the limited warranty brochure."
486,486,/us/en/images/products/ekedalen-chair__0587130_PE672412_S4.JPG,"The upholstered seat and comfortable angle of the backrest make the chair perfect for long dinners. You can choose from several different seat covers and switch between them when you like. The cover is easy to remove, machine wash and put back on again. The chair frame is made of solid wood, which is a durable natural material. Easy to combine with tables and benches in the same series."
3385,3385,/us/en/images/products/vidga-single-track-rail-white__0601970_PE680077_S4.JPG,"The rail can be mounted to the wall or ceiling using appropriate hardware, sold separately. The rail can be cut to the desired length with a hacksaw. You can add the rail to a single layer combination to create a double layer combination. You can use the included connectors to extend the rail for a longer solution.  The rail can be mounted to the wall or ceiling using brackets, sold separately"
2012,2012,/us/en/images/products/ordning-utensil-holder__0711105_PE727961_S4.JPG,Suitable for large kitchen utensils.
2206,2206,/us/en/images/products/poang-chair-cushion-brown__0484044_PE621081_S4.JPG,"Soft, durable and easy care leather which is practical for families with children."
2157,2157,/us/en/images/products/pjatteryd-picture__0715261_PE730395_S4.JPG,Motif created by Lee Vivian. The picture has extra depth and life because it's printed on high quality canvas. The picture stands out from the wall in an attractive way because it continues around the edges of the canvas. You can personalize your home with artwork that expresses your style.
2863,2863,/us/en/images/products/ost-herrgard-semi-hard-cheese__0513527_PE639023_S4.JPG,"A wellripened semihard cheese, rich and strong in taste yet moderately bitter. If not for breakfast, try it on crackers with wine or when cooking to heighten the food experience."
3216,3216,/us/en/images/products/vallentuna-seat-section-white__0729637_PE737083_S4.JPG,"All modules in the VALLENTUNA series can be used freestanding or together to create a sofa combination in any size that suits you perfectly. VALLENTUNA retains its comfort for a long time with generous seating and pocket springs that follow your body. MURUM fixed cover is made of polyester with a protective polyurethane surface that makes it both soft and firm, while the cover is very durable and easycare at the same time. The cover is easy to keep clean as it can be wiped clean with a damp cloth. 10year limited warrranty. Read about the terms in the limited warranty brochure."
711,711,/us/en/images/products/fornyad-shopping-bag-large-assorted-colors__0710921_PE727841_S4.JPG,Easy to keep clean – just rinse and dry. Takes little room to store as it folds flat. Also suitable for recycling.
3155,3155,/us/en/images/products/trysil-bed-frame-brown__0638591_PE699025_S4.JPG,"The angled headboard allows you to sit comfortably when reading in bed. There’s plenty of space under the bed for storage boxes  perfect for storing extra quilts and pillows. The design works well with many different styles, from modern to traditional. You can easily vacuum under the bed frame to keep the space clean and dustfree. Adjustable bed sides allow you to use mattresses of different thicknesses. 26 layerglued slats, divided into 5 comfort zones, adjust to your body weight and increase the suppleness of the mattress."
1744,1744,/us/en/images/products/lixhult-storage-combination-gray__0622550_PE690607_S4.JPG,"Keep track of important papers, letters and newspapers by sorting them on the inside of the cabinet door. The cabinet can be used either with the included legs or be placed on the floor."
3479,3479,/us/en/images/products/vittsjo-storage-combination-black__0141579_PE301500_S4.JPG,"Tempered glass and metal are durable materials that provide an open, airy feel. Adjustable feet for stability on uneven floors. You can select the look you like best because the top and bottom panels have one blackbrown and one black side."
780,780,/us/en/images/products/galant-storage-combination-with-filing-white__0722610_PE733660_S4.JPG,10year Warranty. Read about the terms in the warranty brochure.
